JAN,商品番号,SYS,分類コード,メーカー,商品名,商品説明,定価,定価（税込）,ブランドコード,仕入先コード,仕切
8020838363940,YAKX0L03,25973227,3213,KYT ケイワイティ,KX-1 RACE GP CHEEK PADS,■内装チークパッド<br />,11000,12100,2184,B23,7150
8020838363957,YAKX0L04,25973228,3213,KYT ケイワイティ,KX-1 RACE GP CHEEK PADS,■内装チークパッド<br />,11000,12100,2184,B23,7150
8020838363964,YAKX0L05,25973229,3213,KYT ケイワイティ,KX-1 RACE GP CHEEK PADS,■内装チークパッド<br />,11000,12100,2184,B23,7150
8020838363971,YAKX0L06,25973230,3213,KYT ケイワイティ,KX-1 RACE GP CHEEK PADS,■内装チークパッド<br />,11000,12100,2184,B23,7150
8051811404596,YANZ0L03,25973231,3213,KYT ケイワイティ,NZ RACE CHEEK PADS,■内装チークパッド<br />カラー：GREY／RED<br />,8000,8800,2184,B23,5200
8051811404602,YANZ0L04,25973232,3213,KYT ケイワイティ,NZ RACE CHEEK PADS,■内装チークパッド<br />カラー：GREY／RED<br />,8000,8800,2184,B23,5200
8051811404619,YANZ0L05,25973233,3213,KYT ケイワイティ,NZ RACE CHEEK PADS,■内装チークパッド<br />カラー：GREY／RED<br />,8000,8800,2184,B23,5200
8051811404626,YANZ0L06,25973234,3213,KYT ケイワイティ,NZ RACE CHEEK PADS,■内装チークパッド<br />カラー：GREY／RED<br />,8000,8800,2184,B23,5200
8020838336265,YASK0L03,25973235,3213,KYT ケイワイティ,SKYHAWK CHEEK PADS,■内装チークパッド<br />,5000,5500,2184,B23,3250
8020838336272,YASK0L04,25973236,3213,KYT ケイワイティ,SKYHAWK CHEEK PADS,■内装チークパッド<br />,5000,5500,2184,B23,3250
8020838336289,YASK0L05,25973237,3213,KYT ケイワイティ,SKYHAWK CHEEK PADS,■内装チークパッド<br />,5000,5500,2184,B23,3250
8020838336296,YASK0L06,25973238,3213,KYT ケイワイティ,SKYHAWK CHEEK PADS,■内装チークパッド<br />,5000,5500,2184,B23,3250
